trade_date,symbol,open,high,low,close,volume,_src_file,_ingest_ts
2025-10-17,BKF,44.24,44.94,44.24,44.82,1870,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,FLMX,32.72,32.72,32.18,32.2926,8597,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,GDLC,50.81,51.66,50.3108,51.3508,128163,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,CPRX,20.43,20.5798,20.26,20.55,1031413.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,SLF,60.92,61.12,60.265,60.56,546534,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,BWAY,15.82,16.09,15.36,16,85313,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,NVD,9.2,9.2294,8.8001,8.89,15752459.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,DKNG,34.85,35.15,34.04,34.1,11104896.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,FTCB,21.56,21.56,21.52,21.55,793974,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,ULBI,6.77,6.8865,6.42,6.44,92468,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,ATLX,5.75,5.88,5.43,5.745,1169636.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,SPVM,64.01,64.229715,63.7704,64.1102,1720,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,NTHI,10.48,10.78,10.0601,10.35,41459,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,TDVI,29.05,29.05,28.6518,28.92,179507,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,SLVO,95.85,95.85,92.64,94.2,29833,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,JAMF,9.87,10.06,9.77,9.93,1196345.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,SEER,2.18,2.22,2.13,2.16,67053,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,NL,5.84,5.9823,5.74,5.76,22738,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,PZG,1.18,1.18,1.05,1.11,1000163.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,HFGO,27.03,27.09,26.8044,27,12717,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,FGMCR,0.51,0.52899,0.499,0.499,150614,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,BBSI,42.21,43.04,41.45,41.62,196339,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,IDAI,3.38,3.5,3.16,3.22,188747,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,ARKG,31.59,31.92,30.55,31,4159050.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,SUUN,1.93,1.93,1.83,1.88,226555,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,JEF,51.505,52.322,50.56,51.7,7232741.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,PYPY,9.99,10.24,9.97,10.18,54734,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,GDEV,23.01,23.211,21.9,22.265,5540,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,LIT,56.55,57.035,56.52,56.84,401199,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,BNGE,39.08,39.4528,39.08,39.4528,728,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,LHSW,1.95,1.9599,1.9,1.95,112242,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,VDC,215.55,217.55,215.55,217.49,84159,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,MLNK,20.02,20.07,20.02,20.03,1128684.0,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,ZALT,31.76,31.9,31.7045,31.88,177710,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
2025-10-17,DFJ,92.78,92.89,92.74,92.8621,3547,polygon_eod_grouped_20251017_20251024.csv,2025-10-28T17:16:54+00:00
